date,open,high,low,close,volume
2023-07-01 00:00:00+00:00,30471.84765625,30524.46484375,30432.7734375,30477.494140625,0
2023-07-01 01:00:00+00:00,30466.806640625,30478.087890625,30410.515625,30438.7265625,86900736
2023-07-01 02:00:00+00:00,30440.6015625,30514.943359375,30399.609375,30419.037109375,120922112
2023-07-01 03:00:00+00:00,30430.69921875,30435.92578125,30380.173828125,30386.8203125,0
2023-07-01 04:00:00+00:00,30388.4765625,30413.599609375,30328.865234375,30380.412109375,0
2023-07-01 05:00:00+00:00,30384.189453125,30425.517578125,30382.873046875,30425.517578125,0
2023-07-01 06:00:00+00:00,30423.689453125,30456.4296875,30402.423828125,30444.80078125,0
2023-07-01 07:00:00+00:00,30444.3359375,30457.009765625,30407.041015625,30457.009765625,0
2023-07-01 08:00:00+00:00,30458.74609375,30469.48828125,30426.953125,30441.486328125,0
2023-07-01 09:00:00+00:00,30437.552734375,30461.82421875,30431.921875,30437.025390625,0
2023-07-01 10:00:00+00:00,30444.041015625,30489.876953125,30439.779296875,30465.248046875,0
2023-07-01 11:00:00+00:00,30465.7734375,30583.4921875,30465.7734375,30524.814453125,0
2023-07-01 12:00:00+00:00,30528.9921875,30622.27734375,30510.328125,30575.236328125,0
2023-07-01 13:00:00+00:00,30571.611328125,30624.552734375,30552.2421875,30568.203125,0
2023-07-01 14:00:00+00:00,30571.677734375,30608.466796875,30541.6875,30608.466796875,0
2023-07-01 15:00:00+00:00,30607.49609375,30641.2890625,30563.587890625,30575.15234375,0
2023-07-01 16:00:00+00:00,30571.193359375,30591.009765625,30546.17578125,30571.470703125,0
2023-07-01 17:00:00+00:00,30573.345703125,30592.751953125,30563.33984375,30579.794921875,0
2023-07-01 18:00:00+00:00,30580.22265625,30615.599609375,30580.22265625,30613.296875,0
2023-07-01 19:00:00+00:00,30616.146484375,30633.953125,30601.53515625,30618.23828125,0
2023-07-01 20:00:00+00:00,30616.814453125,30619.583984375,30596.626953125,30599.736328125,0
2023-07-01 21:00:00+00:00,30597.328125,30603.38671875,30587.30078125,30598.701171875,0
2023-07-01 22:00:00+00:00,30595.8359375,30610.591796875,30568.65234375,30580.58203125,0
2023-07-01 23:00:00+00:00,30583.6171875,30598.8984375,30574.45703125,30590.5703125,0
2023-07-02 00:00:00+00:00,30587.26953125,30645.212890625,30562.021484375,30578.8515625,0
